STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TRANSACTION,Transaction,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,CIVIL_STATUS,Civil status,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,LEVEL,Level,TAX_BASE,Tax base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,CRI,Costa Rica,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,5.965382,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,CZE,Czechia,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,2.866303,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,DNK,Denmark,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.238198,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,EST,Estonia,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,0.311485,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,FIN,Finland,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,2.973185,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,FRA,France,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,12.941798,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,DEU,Germany,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,4.424168,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,GRC,Greece,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.738306,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,HUN,Hungary,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ISL,Iceland,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.332212,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,IRL,Ireland,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.162416,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ISR,Israel,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,3.44034,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ITA,Italy,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.509617,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,JPN,Japan,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,7.669291,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,KOR,Korea,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,18.991063,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,LVA,Latvia,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,LTU,Lithuania,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,4.443889,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,LUX,Luxembourg,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,3.25869,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,MEX,Mexico,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,20.56753,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,NLD,Netherlands,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.169261,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,NZL,New Zealand,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,2.166774,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,NOR,Norway,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.75971,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,POL,Poland,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.34808,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,PRT,Portugal,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,11.581589,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,SVK,Slovak Republic,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,2.855355,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,SVN,Slovenia,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,3.589237,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,ESP,Spain,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,9.358409,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,SWE,Sweden,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,1.15434,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,CHE,Switzerland,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,3.08328,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,TUR,Türkiye,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,5.582718,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,GBR,United Kingdom,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,2.235356,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,USA,United States,A,Annual,_Z,Not applicable,TS_PIT_TH,Top statutory personal income tax rate earnings threshold,FCTR_WG_A_SAL_A,Factor of average annual wage,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,8.733675,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUS,Australia,A,Annual,_Z,Not applicable,PIT_SSC_R_TH,Personal marginal income tax and employee social security contribution rate at top statutory tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,47,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUS,Australia,A,Annual,_Z,Not applicable,PIT_R_TH,Personal marginal income tax rate at top tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,47,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUS,Australia,A,Annual,_Z,Not applicable,TS_PIT,Top statutory personal income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,47,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUT,Austria,A,Annual,_Z,Not applicable,PIT_R_TH,Personal marginal income tax rate at top tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,55,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUT,Austria,A,Annual,_Z,Not applicable,TS_PIT,Top statutory personal income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,55,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,AUT,Austria,A,Annual,_Z,Not applicable,PIT_SSC_R_TH,Personal marginal income tax and employee social security contribution rate at top statutory tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,55,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,BEL,Belgium,A,Annual,_Z,Not applicable,PIT_SSC_R_TH,Personal marginal income tax and employee social security contribution rate at top statutory tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,60.042399,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,BEL,Belgium,A,Annual,_Z,Not applicable,PIT_R_TH,Personal marginal income tax rate at top tax rate earnings threshold,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,45.842657,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,BEL,Belgium,A,Annual,_Z,Not applicable,TS_PIT,Top statutory personal income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,52.7351,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_TOP_EARN_THRESH(1.0),Personal income tax (PIT) - top statutory and marginal tax rate,I,CAN,Canada,A,Annual,_Z,Not applicable,TS_PIT,Top statutory personal income tax rate,PT_WG_EARN_G,Percentage of gross wage earnings,S13,General government,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025,,53.5296,,1,One,A,Normal value,0,Units
